    1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85            
 10 0.225158826 0.240729496 0.257383198 0.273661584 0.290084779 0.305108905 0.318372935 0.327777535 0.334233314 0.340698540 0.346850604 0.352866858 0.358819216 0.363940567 0.369826019 0.375143409 0.380597174 0.386064202 0.391744107 0.396932930 0.401871264 0.407021999 0.412076354 0.417251498 0.423027813 0.428248912 0.433653593 0.438431859 0.443631738 0.449096143 0.454295605 0.459642977 0.464509219 0.469560534 0.474659115 0.479842961 0.484946579 0.489497691 0.493920535 0.498518378 0.502600968 0.507372797 0.511511445 0.515383661 0.519044578 0.523062468 0.526268959 0.529917955 0.533279896 0.538281858 0.545287788 0.551160455 0.557477176 0.563333571 0.569851518 0.576330960 0.583071232 0.589897990 0.596852183 0.603885293 0.610674620 0.617845535 0.625447273 0.632918000 0.640644670 0.648171008 0.656212211 0.664181828 0.672003090 0.680448234 0.688639939 0.697343171 0.705618680 0.714413106 0.722858548 0.731585979 0.739988029 0.748660624 0.757333696 0.760956764 0.761625826 0.786283195 0.790909231 0.791793942 0.814181328   
 11 0.218216002 0.233352229 0.249543399 0.265375704 0.281353354 0.295978457 0.308899850 0.318066001 0.324358195 0.330660343 0.336659342 0.342527241 0.348333776 0.353334188 0.359077066 0.364268988 0.369593889 0.374932230 0.380477935 0.385547251 0.390373737 0.395407140 0.400347352 0.405405432 0.411048234 0.416152060 0.421434879 0.426109403 0.431194246 0.436536729 0.441622227 0.446852118 0.451614797 0.456557930 0.461547554 0.466620654 0.471616358 0.476075232 0.480409920 0.484915316 0.488920003 0.493595690 0.497655928 0.501457512 0.505053878 0.508998215 0.512153387 0.515739739 0.519047141 0.523969352 0.530861974 0.536653399 0.542879403 0.548659444 0.555086434 0.561478734 0.568128109 0.574864984 0.581729591 0.588674784 0.595386207 0.602473855 0.609986067 0.617375314 0.625019252 0.632473171 0.640435100 0.648333192 0.656092763 0.664468229 0.672603488 0.681245327 0.689477384 0.698224723 0.706639767 0.715339422 0.723730445 0.732395709 0.741071761 0.744815826 0.745676160 0.770036280 0.774794400 0.775896668 0.798084855   
 12 0.211619705 0.226344898 0.242098555 0.257509261 0.273065954 0.287314534 0.299913049 0.308854759 0.314992964 0.321141690 0.326996744 0.332725167 0.338394731 0.343281746 0.348890752 0.353965044 0.359169126 0.364386857 0.369806707 0.374764115 0.379485995 0.384409487 0.389242947 0.394191504 0.399709165 0.404703289 0.409872055 0.414449722 0.419426948 0.424655318 0.429634303 0.434754252 0.439420193 0.444262207 0.449150026 0.454119563 0.459014356 0.463387161 0.467639595 0.472058654 0.475990772 0.480576605 0.484563768 0.488299519 0.491835862 0.495711476 0.498819083 0.502346992 0.505603671 0.510451615 0.517238379 0.522954106 0.529095232 0.534803927 0.541145325 0.547455311 0.554018795 0.560670376 0.567449629 0.574310720 0.580947161 0.587954462 0.595380008 0.602689743 0.610252619 0.617634654 0.625517905 0.633344114 0.641040683 0.649344862 0.657420993 0.665998161 0.674182117 0.682877302 0.691255033 0.699919283 0.708289921 0.716937721 0.725605249 0.729452074 0.730481565 0.754544258 0.759413123 0.760706902 0.782687187   
 13 0.205357447 0.219694123 0.235034347 0.250046909 0.265206337 0.279099971 0.291394591 0.300125301 0.306118757 0.312123239 0.317843169 0.323440701 0.328981727 0.333762616 0.339246064 0.344210237 0.349301189 0.354406029 0.359708041 0.364560813 0.369185030 0.374005854 0.378739595 0.383585840 0.388986409 0.393878102 0.398940295 0.403427601 0.408304363 0.413426191 0.418305695 0.423323035 0.427898735 0.432646424 0.437439203 0.442312062 0.447112709 0.451405376 0.455581218 0.459919780 0.463784426 0.468286484 0.472205609 0.475880146 0.479360759 0.483172446 0.486235887 0.489709526 0.492919028 0.497697949 0.504386067 0.510031402 0.516093314 0.521735132 0.527996182 0.534228742 0.540710866 0.547281563 0.553979456 0.560760081 0.567324400 0.574254036 0.581595659 0.588827848 0.596311271 0.603622079 0.611427128 0.619181097 0.626813233 0.635044634 0.643058836 0.651568472 0.659699738 0.668337584 0.676671684 0.685293257 0.693634629 0.702255130 0.710902989 0.714835227 0.716012359 0.739777565 0.744736731 0.746196866 0.767960906   
 14 0.199416921 0.213386714 0.228336632 0.242973641 0.257758528 0.271317989 0.283326924 0.291859478 0.297717065 0.303586185 0.309179336 0.314654171 0.320074767 0.324756473 0.330122381 0.334983617 0.339968860 0.344968230 0.350160062 0.354915172 0.359448284 0.364173383 0.368814141 0.373564959 0.378856212 0.383652389 0.388615131 0.393018395 0.397801548 0.402823925 0.407610774 0.412532419 0.417024195 0.421683997 0.426388264 0.431171149 0.435884088 0.440102220 0.444206834 0.448470592 0.452272594 0.456696659 0.460552573 0.464170307 0.467599303 0.471351594 0.474374294 0.477797419 0.480963260 0.485678136 0.492274463 0.497854471 0.503842473 0.509421885 0.515607536 0.521767139 0.528172493 0.534666359 0.541286826 0.547990501 0.554485381 0.561339974 0.568600237 0.575756669 0.583162069 0.590402246 0.598129630 0.605811000 0.613377333 0.621534586 0.629484296 0.637923419 0.645997643 0.654573500 0.662857652 0.671429396 0.679733098 0.688316822 0.696934342 0.700935245 0.702239573 0.725706995 0.730736732 0.732339263 0.753878951   
 15 0.193786055 0.207409725 0.221991554 0.236274660 0.250706822 0.263951957 0.275692672 0.284039438 0.289769590 0.295511812 0.300986260 0.306346297 0.311654210 0.316243351 0.321499407 0.326264560 0.331151187 0.336052060 0.341141135 0.345805228 0.350253552 0.354889512 0.359443754 0.364105791 0.369295090 0.374002337 0.378872573 0.383197755 0.387893826 0.392823637 0.397524297 0.402356923 0.406770706 0.411348939 0.415970862 0.420670003 0.425301403 0.429450423 0.433489054 0.437683374 0.441427380 0.445778936 0.449576318 0.453141510 0.456522733 0.460219920 0.463205010 0.466581434 0.469706893 0.474362463 0.480873615 0.486393064 0.492312312 0.497833520 0.503948450 0.510039389 0.516372204 0.522793293 0.529339969 0.535970151 0.542397976 0.549180031 0.556361437 0.563443899 0.570772707 0.577942789 0.585592926 0.593201399 0.600700676 0.608782351 0.616665006 0.625030935 0.633043826 0.641553044 0.649781227 0.658296466 0.666554272 0.675092220 0.683669150 0.687722683 0.689134479 0.712304056 0.717385352 0.719107330 0.740414798   
 16 0.188452959 0.201750383 0.215985447 0.229935378 0.244035780 0.256985575 0.268474787 0.276647568 0.282258362 0.287881851 0.293245286 0.298498005 0.303700715 0.308203608 0.313357115 0.318032831 0.322827518 0.327636719 0.332629949 0.337209493 0.341579080 0.346132189 0.350606084 0.355185568 0.360280007 0.364904702 0.369688928 0.373941779 0.378556967 0.383400828 0.388021469 0.392771423 0.397112995 0.401615471 0.406161100 0.410782516 0.415338248 0.419423312 0.423400879 0.427530855 0.431221336 0.435505629 0.439248890 0.442765564 0.446102738 0.449748933 0.452699482 0.456032723 0.459120929 0.463721752 0.470153928 0.475617468 0.481472731 0.486939758 0.492988497 0.499014914 0.505279243 0.511631191 0.518107712 0.524667382 0.531030774 0.537742674 0.544847548 0.551857591 0.559111238 0.566211641 0.573784947 0.581320107 0.588751197 0.596756041 0.604569256 0.612859190 0.620806873 0.629244924 0.637411475 0.645863593 0.654067636 0.662551165 0.671077728 0.675168395 0.676669002 0.699540377 0.704655230 0.706474364 0.727542281   
 17 0.183405906 0.196396187 0.210304841 0.223941520 0.237730116 0.250402868 0.261656523 0.269666582 0.275165826 0.280678272 0.285938084 0.291090667 0.296195209 0.300617933 0.305675894 0.310268402 0.314977616 0.319701582 0.324605763 0.329106748 0.333403379 0.337879628 0.342279047 0.346782058 0.351788372 0.356336504 0.361040980 0.365226954 0.369767249 0.374531388 0.379077941 0.383751273 0.388026029 0.392458409 0.396933407 0.401482880 0.405968547 0.409994543 0.413915753 0.417986333 0.421627432 0.425849527 0.429542840 0.433014840 0.436311483 0.439910591 0.442829520 0.446123004 0.449176848 0.453727245 0.460086405 0.465498388 0.471294314 0.476710886 0.482697666 0.488663465 0.494863153 0.501149714 0.507559299 0.514051616 0.520352721 0.526996732 0.534027278 0.540966570 0.548146248 0.555177569 0.562674403 0.570135951 0.577497542 0.585424304 0.593165636 0.601377070 0.609255612 0.617618382 0.625717640 0.634100676 0.642243385 0.650664091 0.659130812 0.663244069 0.664815307 0.687388361 0.692519426 0.694414675 0.715235829   
 18 0.178633422 0.191334799 0.204936579 0.218279004 0.231774956 0.244188026 0.255221397 0.263079524 0.268474579 0.273883432 0.279046565 0.284105867 0.289119065 0.293467343 0.298436403 0.302951723 0.307581604 0.312226474 0.317047954 0.321476221 0.325705349 0.330110461 0.334441036 0.338873237 0.343797833 0.348275214 0.352905869 0.357030153 0.361501187 0.366191566 0.370669663 0.375272214 0.379485339 0.383853018 0.388262689 0.392745703 0.397166669 0.401138216 0.405007631 0.409023374 0.412619174 0.416783839 0.420431197 0.423862189 0.427121669 0.430677444 0.433567464 0.436824352 0.439846694 0.444350719 0.450642586 0.456007004 0.461748034 0.467117786 0.473046690 0.478955507 0.485094219 0.491318762 0.497664630 0.504092276 0.510333419 0.516911626 0.523869991 0.530739963 0.537846863 0.544809461 0.552230299 0.559617817 0.566908777 0.574756205 0.582423627 0.590553999 0.598359704 0.606643081 0.614669919 0.622977734 0.631052017 0.639401972 0.647799909 0.651921570 0.653546274 0.675820827 0.680951476 0.682902575 0.703470230   
 19 0.174124211 0.186554134 0.199867666 0.212933958 0.226155564 0.238325596 0.249153212 0.256869644 0.262167573 0.267479867 0.272553027 0.277525604 0.282453865 0.286733210 0.291619718 0.296063542 0.300619900 0.305191517 0.309936404 0.314297438 0.318464309 0.322803736 0.327070743 0.331437647 0.336286634 0.340698689 0.345261186 0.349328697 0.353735924 0.358358175 0.362773180 0.367310375 0.371466786 0.375774831 0.380124480 0.384546161 0.388907492 0.392829061 0.396650851 0.400616229 0.404170573 0.408282280 0.411887497 0.415280879 0.418506384 0.422022402 0.424886078 0.428109407 0.431102961 0.435564518 0.441794336 0.447115183 0.452805400 0.458131701 0.464006513 0.469861954 0.475943148 0.482108861 0.488394022 0.494759828 0.500942886 0.507457316 0.514345527 0.521147490 0.528182864 0.535077155 0.542422235 0.549735487 0.556954741 0.564721644 0.572312832 0.580359995 0.588089287 0.596289337 0.604238689 0.612465739 0.620464683 0.628736317 0.637056947 0.641173601 0.642835259 0.664811134 0.669925570 0.671913266 0.692220747   
