 460.989990  2022.662109
 500.920013  1934.504639
 540.840027  1875.621826
 580.765015  1833.137451
 620.689941  1689.644409
 660.609985  1550.267334
 700.537537  1428.238281
 730.479980  1324.721680
 750.440002  1271.074707
 770.400024  1216.917114
 790.364990  1162.946045
 810.330017  1107.837036
 830.290039  1053.718018
 850.250000   985.262878
 870.209961   946.577942
 890.174988   920.729126
 910.140015   879.042053
 930.099976   838.584351
 950.059998   803.807495
 970.020020   774.441345
 989.979980   747.215698
1009.950012   714.813477
1029.910034   688.451416
1049.869995   660.180420
1069.829956   627.847351
1089.790039   595.195679
1109.760010   576.041504
1129.719971   554.240967
1149.679932   536.109741
1169.640015   515.018677
1189.599976   495.133911
1209.570068   478.304504
1229.530029   465.552826
1249.489990   448.761108
1269.449951   431.568756
1289.410034   413.441162
1309.375000   402.579224
1329.339966   389.435547
1349.300049   376.903381
1369.260010   363.470428
1389.219971   352.801758
1409.185059   339.575775
1429.150024   326.363434
1449.109985   315.832489
1469.070068   305.716370
1489.030029   295.547668
1508.994995   285.620911
1528.959961   279.833801
1548.920044   270.836487
1578.859985   254.320526
1618.787598   239.493790
1658.710083   222.479904
1698.630005   205.766937
1738.560059   188.134918
1778.479980   176.529922
1818.405029   161.412659
1858.330078   148.559753
1898.250000   138.283081
1938.179932   127.823883
1978.099976   120.320206
2018.022461   112.589493
2057.949951   104.922226
2097.869873    97.874298
2137.797363    91.578003
2177.719971    84.585487
2217.642578    80.119522
2257.570068    75.024551
2297.489990    70.138199
2337.414795    65.460922
2377.340088    61.354645
2417.260010    57.781689
2457.189941    54.253448
2497.109863    51.185177
2537.034912    48.428665
2576.959961    45.669037
2616.879883    42.878807
2656.807617    40.754391
2696.729980    38.894337
2736.652344    36.834885
2776.580078    34.852249
2816.500000    33.181812
2856.427246    31.370193
2896.350098    29.848970
2936.272461    28.347176
2976.199951    26.991705
