Wavelength (nm)	62231 Avg	avg std	62231 scaled avg	sc avg std
1785.0	0.28797	0.0095442	1.6257	0.0065094
1790.0	0.28818	0.0096053	1.6269	0.0054439
1795.0	0.28870	0.0095896	1.6298	0.0073158
1800.0	0.28893	0.0099268	1.6310	0.0062833
1805.0	0.28944	0.010020	1.6339	0.0067029
1810.0	0.28967	0.0099120	1.6352	0.0060216
1815.0	0.28997	0.010050	1.6369	0.0055222
1820.0	0.29041	0.0099240	1.6394	0.0052616
1825.0	0.29103	0.0098011	1.6429	0.0079946
1830.0	0.29102	0.010135	1.6428	0.0060631
1835.0	0.29150	0.010214	1.6455	0.0051103
1840.0	0.29204	0.010267	1.6485	0.0081213
1845.0	0.29238	0.010105	1.6505	0.0099696
1850.0	0.29252	0.010078	1.6513	0.0087083
1855.0	0.29289	0.010211	1.6534	0.0089701
1860.0	0.29313	0.0099536	1.6548	0.0077804
1865.0	0.29360	0.010137	1.6574	0.0071275
1870.0	0.29385	0.010354	1.6588	0.0077013
1875.0	0.29428	0.010113	1.6612	0.0066072
1880.0	0.29450	0.0097798	1.6625	0.0071923
1885.0	0.29452	0.0097870	1.6626	0.0072670
1890.0	0.29467	0.010030	1.6635	0.0059284
1895.0	0.29545	0.0099059	1.6679	0.0087360
1900.0	0.29536	0.010472	1.6673	0.0036090
1905.0	0.29607	0.0097547	1.6714	0.0084095
1910.0	0.29658	0.0098005	1.6743	0.011046
1915.0	0.29669	0.010058	1.6748	0.0083080
1920.0	0.29698	0.010236	1.6764	0.0070726
1925.0	0.29753	0.0099098	1.6796	0.0090910
1930.0	0.29751	0.010089	1.6795	0.0070795
1935.0	0.29790	0.0097456	1.6817	0.0084383
1940.0	0.29821	0.0097427	1.6835	0.0073051
1945.0	0.29844	0.0098193	1.6848	0.0078183
1950.0	0.29860	0.0099454	1.6857	0.0066898
1955.0	0.29890	0.010095	1.6873	0.0062182
1960.0	0.29925	0.0099288	1.6894	0.0068304
1965.0	0.29981	0.0099818	1.6925	0.0065736
